GEO,TOUR_MEASURE,FREQ,TIME_PERIOD,ACTIVITY,UNIT_LOC_RANKING,L_STAY,OBS_VALUE_NIVEAU
2025-COM-01125,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01088,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01036,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01034,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01019,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01153,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01041,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01038,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01032,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01108,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01138,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01136,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01008,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01115,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01007,PLACE,A,2025,I551,_T,_T,69.0
2025-COM-01088,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01150,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01153,PLACE,A,2025,I551,_T,_T,14.0
2025-COM-01155,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01149,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01079,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01032,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01002,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01101,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01100,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01093,PLACE,A,2025,I553,_T,_T,115.0
2025-COM-01111,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01152,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01064,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01044,PLACE,A,2025,I551,_T,_T,7.0
2025-COM-01102,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01033,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01049,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01005,PLACE,A,2025,I553,_T,_T,72.0
2025-COM-01096,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01078,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01024,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01107,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01029,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01157,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01038,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01005,PLACE,A,2025,I551,_T,_T,20.0
2025-COM-01002,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01158,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01115,PLACE,A,2025,I551,_T,_T,12.0
2025-COM-01057,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01057,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01063,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01001,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01041,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01011,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01107,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01138,PLACE,A,2025,I553,_T,_T,75.0
2025-COM-01167,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01042,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01028,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01030,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01148,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01025,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01009,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01162,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01079,PLACE,A,2025,I553,_T,_T,33.0
2025-COM-01081,PLACE,A,2025,I553,_T,_T,37.0
2025-COM-01017,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01022,PLACE,A,2025,I551,_T,_T,6.0
2025-COM-01109,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01116,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01089,PLACE,A,2025,I551,_T,_T,59.0
2025-COM-01141,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01051,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01058,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01077,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01114,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01045,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01026,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01140,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01113,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01060,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01075,PLACE,A,2025,I553,_T,_T,25.0
2025-COM-01133,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01123,PLACE,A,2025,I553,_T,_T,121.0
2025-COM-01104,PLACE,A,2025,I553,_T,_T,66.0
2025-COM-01029,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01075,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01071,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01102,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01058,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01016,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01033,PLACE,A,2025,I551,_T,_T,148.0
2025-COM-01103,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01072,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01066,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01159,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01169,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01011,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01130,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01124,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01073,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01065,PLACE,A,2025,I551,_T,_T,13.0
2025-COM-01024,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01023,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01001,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01035,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01013,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01015,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01163,PLACE,A,2025,I551,_T,_T,5.0
2025-COM-01175,PLACE,A,2025,I551,_T,_T,8.0
2025-COM-01025,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01134,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01074,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01076,PLACE,A,2025,I553,_T,_T,33.0
2025-COM-01165,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01066,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01125,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01116,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01101,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01139,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01034,PLACE,A,2025,I551,_T,_T,35.0
2025-COM-01047,PLACE,A,2025,I551,_T,_T,103.0
2025-COM-01083,PLACE,A,2025,I551,_T,_T,7.0
2025-COM-01084,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01014,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01159,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01082,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01056,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01183,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01156,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01067,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01105,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01155,PLACE,A,2025,I551,_T,_T,11.0
2025-COM-01174,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01014,PLACE,A,2025,I551,_T,_T,10.0
2025-COM-01087,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01123,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01092,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01156,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01140,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01068,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01062,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01035,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01162,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01006,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01171,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01118,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01112,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01054,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01189,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01095,PLACE,A,2025,I553,_T,_T,21.0
2025-COM-01019,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01147,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01151,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01184,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01104,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01121,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01047,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01145,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01062,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01021,PLACE,A,2025,I553,_T,_T,65.0
2025-COM-01010,PLACE,A,2025,I553,_T,_T,29.0
2025-COM-01012,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01121,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01099,PLACE,A,2025,I553,_T,_T,12.0
2025-COM-01147,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01016,PLACE,A,2025,I551,_T,_T,19.0
2025-COM-01163,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01004,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01146,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01127,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01063,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01106,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01149,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01049,PLACE,A,2025,I551,_T,_T,17.0
2025-COM-01007,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01177,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01069,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01031,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01084,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01166,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01157,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01051,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01128,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01151,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01111,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01114,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01031,PLACE,A,2025,I551,_T,_T,47.0
2025-COM-01037,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01017,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01078,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01012,PLACE,A,2025,I551,_T,_T,9.0
2025-COM-01093,PLACE,A,2025,I551,_T,_T,52.0
2025-COM-01148,PLACE,A,2025,I553,_T,_T,50.0
2025-COM-01076,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01135,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01136,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01146,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01142,PLACE,A,2025,I551,_T,_T,21.0
2025-COM-01043,PLACE,A,2025,I551,_T,_T,112.0
2025-COM-01171,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01052,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01052,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01106,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01030,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01080,PLACE,A,2025,I553,_T,_T,85.0
2025-COM-01098,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01065,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01174,PLACE,A,2025,I551,_T,_T,30.0
2025-COM-01013,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01083,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01056,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01042,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01037,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01096,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01118,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01023,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01082,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01152,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01200,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01046,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01105,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01074,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01021,PLACE,A,2025,I551,_T,_T,43.0
2025-COM-01189,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01094,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01098,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01080,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01087,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01064,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01099,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01043,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01036,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01165,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01068,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01167,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01192,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01191,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01192,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01166,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01269,PLACE,A,2025,I553,_T,_T,58.0
2025-COM-01275,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01249,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01183,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01262,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01266,PLACE,A,2025,I551,_T,_T,6.0
2025-COM-01400,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01403,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01304,PLACE,A,2025,I551,_T,_T,15.0
2025-COM-01308,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01356,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01365,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01158,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01276,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01332,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01293,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01304,PLACE,A,2025,I553,_T,_T,180.0
2025-COM-01313,PLACE,A,2025,I551,_T,_T,152.0
2025-COM-01194,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01447,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01215,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01272,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01289,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01328,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01321,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01255,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01294,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01180,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01447,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01245,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01420,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01228,PLACE,A,2025,I551,_T,_T,35.0
2025-COM-01234,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01298,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01250,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01435,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01188,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01381,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01200,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01279,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01308,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01310,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01422,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01173,PLACE,A,2025,I551,_T,_T,124.0
2025-COM-01393,PLACE,A,2025,I553,_T,_T,75.0
2025-COM-01349,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01262,PLACE,A,2025,I551,_T,_T,8.0
2025-COM-01299,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01181,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01444,PLACE,A,2025,I551,_T,_T,32.0
2025-COM-01388,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01389,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01305,PLACE,A,2025,I551,_T,_T,10.0
2025-COM-01320,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01457,PLACE,A,2025,I551,_T,_T,80.0
2025-COM-01145,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01361,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01203,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01407,PLACE,A,2025,I551,_T,_T,12.0
2025-COM-01406,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01355,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01309,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01419,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01443,PLACE,A,2025,I553,_T,_T,233.0
2025-COM-01215,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01439,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01397,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01378,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01244,PLACE,A,2025,I551,_T,_T,9.0
2025-COM-01243,PLACE,A,2025,I553,_T,_T,30.0
2025-COM-01344,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01338,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01361,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01439,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01216,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01216,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01391,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01297,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01295,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01260,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01383,PLACE,A,2025,I553,_T,_T,84.0
2025-COM-01384,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01333,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01421,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01423,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01303,PLACE,A,2025,I553,_T,_T,100.0
2025-COM-01352,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01210,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01339,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01370,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01212,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01175,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01282,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01286,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01354,PLACE,A,2025,I551,_T,_T,262.0
2025-COM-01405,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01358,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01365,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01180,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01179,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01425,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01378,PLACE,A,2025,I553,_T,_T,110.0
2025-COM-01282,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01445,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01387,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01398,PLACE,A,2025,I551,_T,_T,7.0
2025-COM-01267,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01418,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01408,PLACE,A,2025,I553,_T,_T,15.0
2025-COM-01208,PLACE,A,2025,I551,_T,_T,10.0
2025-COM-01170,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01428,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01293,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01309,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01343,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01433,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01431,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01285,PLACE,A,2025,I553,_T,_T,190.0
2025-COM-01203,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01322,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01386,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01190,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01198,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01302,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01375,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01396,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01169,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01257,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01384,PLACE,A,2025,I551,_T,_T,7.0
2025-COM-01380,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01382,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01208,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01350,PLACE,A,2025,I553,_T,_T,66.0
2025-COM-01311,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01415,PLACE,A,2025,I551,_T,_T,0.0
